product_id,name,brand,category,category_id,price_current,price_ratio,image_url,url
209618579,ASOS DESIGN double layer midi dress in in ivory and black,ASOS DESIGN,Women's Dresses,8799,47.99,,https://images.asos-media.com/products/asos-design-double-layer-midi-dress-in-in-ivory-and-black/209618579-1-ivoryblack,https://www.asos.comasos-design/asos-design-double-layer-midi-dress-in-in-ivory-and-black/prd/209618579#colourWayId-209618581
208776702,ASOS DESIGN tassel loafers in tan leather,ASOS DESIGN,Men's Shoes,4209,69.99,,https://images.asos-media.com/products/asos-design-tassel-loafers-in-tan-leather/208776702-1-tan,https://www.asos.comasos-design/asos-design-tassel-loafers-in-tan-leather/prd/208776702#colourWayId-208776722
209338318,ARKET seamless leggings in black - part of a set,Arket,Women's Pants,2640,51.0,,https://images.asos-media.com/products/arket-seamless-leggings-in-black-part-of-a-set/209338318-1-black,https://www.asos.comarket/arket-seamless-leggings-in-black-part-of-a-set/prd/209338318#colourWayId-209338331
209338733,ARKET wool tailored blazer in brown,Arket,Women's Coats and Jackets,2641,231.0,,https://images.asos-media.com/products/arket-wool-tailored-blazer-in-brown/209338733-1-brown,https://www.asos.comarket/arket-wool-tailored-blazer-in-brown/prd/209338733#colourWayId-209338747
209463008,ASOS DESIGN round neck puff sleeve button through maxi dress in green,ASOS DESIGN,Women's Dresses,8799,69.99,,https://images.asos-media.com/products/asos-design-round-neck-puff-sleeve-button-through-maxi-dress-in-green/209463008-1-khaki,https://www.asos.comasos-design/asos-design-round-neck-puff-sleeve-button-through-maxi-dress-in-green/prd/209463008#colourWayId-209463032
206656956,ASOS DESIGN Kayla mix and match beach short in khaki,ASOS DESIGN,Women's Swimwear and Beachwear,2238,24.99,,https://images.asos-media.com/products/asos-design-kayla-mix-and-match-beach-short-in-khaki/206656956-1-khaki,https://www.asos.comasos-design/asos-design-kayla-mix-and-match-beach-set-in-khaki/grp/206817079#colourWayId-206656957&productId-206656956
209279613,Adore Me Marseille swimwear high waist bikini bottom in animal brown,Adore Me,Women's Swimwear and Beachwear,2238,14.95,,https://images.asos-media.com/products/adore-me-marseille-swimwear-high-waist-bikini-bottom-in-animal-brown/209279613-1-animalbrown,https://www.asos.comadore-me/adore-me-marseille-swimwear-high-waist-bikini-bottom-in-animal-brown/prd/209279613#colourWayId-209279623
208124737,Esmee Curve Exclusive tie front detail beach crop top in leopard - part of a set,Esmee Curve,Women's Swimwear and Beachwear,2238,42.0,,https://images.asos-media.com/products/esmee-curve-exclusive-tie-front-detail-beach-crop-top-in-leopard-part-of-a-set/208124737-1-leopard,https://www.asos.comesmee-curve/esmee-curve-exclusive-tie-front-detail-beach-crop-top-in-leopard-part-of-a-set/prd/208124737#colourWayId-208124745
209045340,Threadbare faux fur shearling vest in tan,Threadbare,Women's Coats and Jackets,2641,51.0,,https://images.asos-media.com/products/threadbare-faux-fur-shearling-vest-in-tan/209045340-1-tan,https://www.asos.comthreadbare/threadbare-faux-fur-shearling-vest-in-tan/prd/209045340#colourWayId-209045343
207151517,ASOS DESIGN Curve supersoft leggings in cotton modal,ASOS Curve,Women's Pants,2640,21.0,,https://images.asos-media.com/products/asos-design-curve-supersoft-leggings-in-cotton-modal/207151517-1-black,https://www.asos.comasos-curve/asos-design-curve-supersoft-leggings-in-cotton-modal/prd/207151517#colourWayId-207151518
208966554,schuh Declan Cheslea boots in chocolate,Schuh,Men's Shoes,4209,87.0,,https://images.asos-media.com/products/schuh-declan-cheslea-boots-in-chocolate/208966554-1-brownpu,https://www.asos.comschuh/schuh-declan-cheslea-boots-in-chocolate/prd/208966554#colourWayId-208966562
208260720,Calvin Klein Jeans lace up suede shoes in navy,Calvin Klein Jeans,Men's Shoes,4209,188.0,,https://images.asos-media.com/products/calvin-klein-jeans-lace-up-suede-shoes-in-navy/208260720-1-calvinnavybright,https://www.asos.comcalvin-klein-jeans/calvin-klein-jeans-lace-up-suede-shoes-in-navy/prd/208260720#colourWayId-208260736
208898183,ASOS DESIGN tailored extreme flare pants in taupe - part of a set,ASOS DESIGN,Women's Pants,2640,49.99,,https://images.asos-media.com/products/asos-design-tailored-extreme-flare-pants-in-taupe-part-of-a-set/208898183-1-taupe,https://www.asos.comasos-design/asos-design-tailored-extreme-flare-pants-in-taupe-part-of-a-set/prd/208898183#colourWayId-208898185
209027620,ARKET denim pants with deep turn-up in clean midwash blue,Arket,Women's Pants,2640,124.0,,https://images.asos-media.com/products/arket-denim-pants-with-deep-turn-up-in-clean-midwash-blue/209027620-1-midwashblue,https://www.asos.comarket/arket-denim-pants-with-deep-turn-up-in-clean-midwash-blue/prd/209027620#colourWayId-209027628
208888086,ASOS DESIGN pull on straight leg cord pants in burgundy,ASOS DESIGN,Women's Pants,2640,39.99,,https://images.asos-media.com/products/asos-design-pull-on-straight-leg-cord-pants-in-burgundy/208888086-1-burgundy,https://www.asos.comasos-design/asos-design-pull-on-straight-leg-cord-pants-in-burgundy/prd/208888086#colourWayId-208888091
209279079,Adore Me Lianne swimwear hipster bikini bottom in black,Adore Me,Women's Swimwear and Beachwear,2238,14.95,,https://images.asos-media.com/products/adore-me-lianne-swimwear-hipster-bikini-bottom-in-black/209279079-1-black,https://www.asos.comadore-me/adore-me-lianne-swimwear-hipster-bikini-bottom-in-black/prd/209279079#colourWayId-209279080
206817079,ASOS DESIGN Kayla mix and match beach set in khaki,ASOS DESIGN,Women's Swimwear and Beachwear,2238,59.98,,https://images.asos-media.com/products/asos-design-kayla-mix-and-match-beach-set-in-khaki/206420398-2,https://www.asos.comasos-design/asos-design-kayla-mix-and-match-beach-set-in-khaki/grp/206817079
208966973,Mamalicious Maternity soft jersey wide leg pants in black and white stripe - part of a set,Mama.licious,Women's Pants,2640,63.0,,https://images.asos-media.com/products/mamalicious-maternity-soft-jersey-wide-leg-pants-in-black-and-white-stripe-part-of-a-set/208966973-1-blackwhite,https://www.asos.commamalicious/mamalicious-maternity-soft-jersey-wide-leg-pants-in-black-and-white-stripe-part-of-a-set/prd/208966973#colourWayId-208966977
208947173,Tommy Hilfiger leather suede comfort lace up boots in brown,Tommy Hilfiger,Men's Shoes,4209,159.9,,https://images.asos-media.com/products/tommy-hilfiger-leather-suede-comfort-lace-up-boots-in-brown/208947173-1-brown,https://www.asos.comtommy-hilfiger/tommy-hilfiger-leather-suede-comfort-lace-up-boots-in-brown/prd/208947173#colourWayId-208947174
208361192,Walk London Dalston Penny loafers in black embossed leather,WALK LONDON,Men's Shoes,4209,202.0,,https://images.asos-media.com/products/walk-london-dalston-penny-loafers-in-black-embossed-leather/208361192-1-black,https://www.asos.comwalk-london/walk-london-dalston-penny-loafers-in-black-embossed-leather/prd/208361192#colourWayId-208361193
208715067,ONLY slouchy teddy jacket in white,ONLY,Women's Coats and Jackets,2641,99.0,,https://images.asos-media.com/products/only-slouchy-teddy-jacket-in-white/208715067-1-white,https://www.asos.comonly/only-slouchy-teddy-jacket-in-white/prd/208715067#colourWayId-208715075
209278021,Adore Me Melony swimwear one-piece swimsuit in black,Adore Me,Women's Swimwear and Beachwear,2238,59.95,,https://images.asos-media.com/products/adore-me-melony-swimwear-one-piece-swimsuit-in-black/209278021-1-black,https://www.asos.comadore-me/adore-me-melony-swimwear-one-piece-swimsuit-in-black/prd/209278021#colourWayId-209278022
209347263,ASOS DESIGN poplin crew neck sculpted mini dress with volume sleeves in gray pinstripes,ASOS DESIGN,Women's Dresses,8799,49.99,,https://images.asos-media.com/products/asos-design-poplin-crew-neck-sculpted-mini-dress-with-volume-sleeves-in-gray-pinstripes/209347263-1-greypinstripe,https://www.asos.comasos-design/asos-design-poplin-crew-neck-sculpted-mini-dress-with-volume-sleeves-in-gray-pinstripes/prd/209347263#colourWayId-209347273
208120724,Vans Classic slip on checkerboard sneakers in red,Vans,Men's Shoes,4209,60.0,,https://images.asos-media.com/products/vans-classic-slip-on-checkerboard-sneakers-in-red/208120724-1-red,https://www.asos.comvans/vans-classic-slip-on-checkerboard-sneakers-in-red/prd/208120724#colourWayId-208120729
208057288,Topshop longline oversized aviator borg coat in chocolate,Topshop,Women's Coats and Jackets,2641,189.0,,https://images.asos-media.com/products/topshop-longline-oversized-aviator-borg-coat-in-chocolate/208057288-1-tanchoc,https://www.asos.comtopshop/topshop-longline-oversized-aviator-borg-coat-in-chocolate/prd/208057288#colourWayId-208057289
